Symbol,Series,Security Name,Band,Remarks
SIDDHIKA,SM,SIDDHIKA COATINGS LIMITED,5,"-"
SIGNORIA,SM,SIGNORIA CREATION LIMITED,5,"-"
SILKFLEX,SM,SILKFLEX POLYMERS (INDIA) LIMITED,5,"-"
SILLYMONKS,BE,SILLY MONKS ENTERTAINMENT LIMITED,5,"-"
SILVERTUC,EQ,SILVER TOUCH TECHNOLOGIES LIMITED,5,"-"
SIMBHALS,BZ,SIMBHAOLI SUGARS LIMITED,5,"-"
SMLMAH,EQ,SML MAHINDRA LIMITED,5,"-"
SMVD,ST,SMVD POLY PACK LIMITED,5,"-"
SOCL,SM,SUNDREX OIL COMPANY LIMITED,5,"-"
SOTAC,SM,SOTAC PHARMACEUTICALS LIMITED,5,"-"
SOUTHWEST,BE,SOUTH WEST PINNACLE EXPLORATION LIMITED,5,"-"
SPCENET,EQ,SPACENET ENTERPRISES INDIA LIMITED,5,"-"
SPCL,SM,SHIVALIC POWER CONTROL LIMITED,5,"-"
SPECTSTM,SM,SPECTRUM TALENT MANAGEMENT LIMITED,5,"-"
SPPPOLY,SM,SPP POLYMER LIMITED,5,"-"
SPRL,SM,SP REFRACTORIES LIMITED,5,"-"
STALLION,EQ,STALLION INDIA FLUOROCHEMICALS LIMITED,5,"-"
SUNLITE,ST,SUNLITE RECYCLING INDUSTRIES LIMITED,5,"-"
SUPREMEINF,BZ,SUPREME INFRASTRUCTURE INDIA LIMITED,5,"-"
SVLL,EQ,SHREE VASU LOGISTICS LIMITED,5,"-"
SVPGLOB,BE,SVP GLOBAL TEXTILES LIMITED,5,"-"
SWARAJ,ST,SWARAJ SUITING LIMITED,5,"-"
SYNOPTICS,SM,SYNOPTICS TECHNOLOGIES LIMITED,5,"-"
SYSTANGO,ST,SYSTANGO TECHNOLOGIES LIMITED,5,"-"
TAKE,BE,TAKE SOLUTIONS LIMITED,5,"-"
TANKUP,ST,TANKUP ENGINEERS LIMITED,5,"-"
TARAPUR,EQ,TARAPUR TRANSFORMERS LIMITED,5,"-"
TCIFINANCE,BE,TCI FINANCE LIMITED,5,"-"
TECHERA,SM,TECHERA ENGINEERING (INDIA) LIMITED,5,"-"
TECHLABS,SM,TRIDENT TECHLABS LIMITED,5,"-"
TEJASCARGO,SM,TEJAS CARGO INDIA LIMITED,5,"-"
TEMBO,EQ,TEMBO GLOBAL INDUSTRIES LIMITED,5,"-"
TERASOFT,EQ,TERA SOFTWARE LIMITED,5,"-"
TGL,ST,TEERTH GOPICON LIMITED,5,"-"
THESL,SM,THINKING HATS ENTERTAINMENT SOLUTIONS LIMITED,5,"-"
TICL,BE,TWAMEV CONSTRUCTION AND INFRASTRUCTURE LIMITED,5,"-"
TIMESCAN,SM,TIMESCAN LOGISTICS (INDIA) LIMITED,5,"-"
TIRUPATI,SM,SHREE TIRUPATI BALAJEE FIBC LIMITED,5,"-"
TNTELE,EQ,TAMILNADU TELECOMMUNICATION LIMITED,5,"GSM STAGE - 0"
TPHQ,EQ,TEAMO PRODUCTIONS HQ LIMITED,5,"-"
TRANSWIND,ST,TRANSWIND INFRASTRUCTURES LIMITED,5,"-"
TREJHARA,BE,TREJHARA SOLUTIONS LIMITED,5,"-"
TRU,EQ,TRUCAP FINANCE LIMITED,5,"-"
TVSELECT,BE,TVS ELECTRONICS LIMITED,5,"-"
TVVISION,BE,TV VISION LIMITED,5,"-"
UEL,EQ,UJAAS ENERGY LIMITED,5,"-"
UNIHEALTH,ST,UNIHEALTH HOSPITALS LIMITED,5,"-"
UNITEDPOLY,BE,UNITED POLYFAB GUJARAT LIMITED,5,"-"
URAVIDEF,EQ,URAVI DEFENCE AND TECHNOLOGY LIMITED,5,"-"
USASEEDS,SM,UPSURGE SEEDS OF AGRICULTURE LIMITED,5,"-"
UWCSL,SM,ULTRA WIRING CONNECTIVITY SYSTEM LIMITED,5,"-"
UYFINCORP,BE,U. Y. FINCORP LIMITED,5,"-"
VASA,SM,VASA RETAIL AND OVERSEAS LTD,5,"-"
VCL,BE,VAXTEX COTFAB LIMITED,5,"-"
VEEKAYEM,SM,VEEKAYEM FASHION AND APPARELS LIMITED,5,"-"
VELS,SM,VELS FILM INTERNATIONAL LIMITED,5,"-"
VENUSREM,BE,VENUS REMEDIES LIMITED,5,"-"
VERA,SM,VERA SYNTHETIC LIMITED,5,"-"
VERITAAS,SM,VERITAAS ADVERTISING LIMITED,5,"-"
VHLTD,BE,VICEROY HOTELS LIMITED,5,"-"
VIAZ,SM,VIAZ TYRES LIMITED,5,"-"
VIESL,ST,VISION INFRA EQUIPMENT SOLUTIONS LIMITED,5,"-"
VIJIFIN,EQ,VIJI FINANCE LIMITED,5,"-"
VILINBIO,ST,VILIN BIO MED LIMITED,5,"-"
VIRINCHI,EQ,VIRINCHI LIMITED,5,"-"
VISAMAN,ST,VISAMAN GLOBAL SALES LIMITED,5,"-"
VISASTEEL,EQ,VISA STEEL LIMITED,5,"-"
VITAL,SM,VITAL CHEMTECH LIMITED,5,"-"
VIVIMEDLAB,EQ,VIVIMED LABS LIMITED,5,"-"
VIVO,SM,VIVO COLLABORATION SOLUTIONS LIMITED,5,"-"
VOLERCAR,SM,VOLER CAR LIMITED,5,"-"
VR,SM,V R INFRASPACE LIMITED,5,"-"
VSCL,ST,VADIVARHE SPECIALITY CHEMICALS LIMITED,5,"-"
WAAREEINDO,BE,INDOSOLAR LIMITED,5,"-"
WALPAR,SM,WALPAR NUTRITIONS LIMITED,5,"-"
WEWIN,EQ,WE WIN LIMITED,5,"-"
WOL3D,ST,WOL 3D INDIA LIMITED,5,"-"
YUDIZ,SM,YUDIZ SOLUTIONS LIMITED,5,"-"
ZENITHEXPO,EQ,ZENITH EXPORTS LIMITED,5,"-"
ZENITHSTL,EQ,ZENITH STEEL PIPES & INDUSTRIES LIMITED,5,"-"
AADHARHFC,EQ,AADHAR HOUSING FINANCE LIMITED,10,"-"
ABDL,EQ,ALLIED BLENDERS AND DISTILLERS LIMITED,10,"-"
ABMINTLLTD,EQ,ABM INTERNATIONAL LIMITED,10,"-"
ACL,EQ,ANDHRA CEMENTS LIMITED,10,"-"
ACMESOLAR,EQ,ACME SOLAR HOLDINGS LIMITED,10,"-"
AEGISVOPAK,EQ,AEGIS VOPAK TERMINALS LIMITED,10,"-"
AESTHETIK,SM,AESTHETIK ENGINEERS LIMITED,10,"-"
AGNI,SM,AGNI GREEN POWER LIMITED,10,"-"
AJAXENGG,EQ,AJAX ENGINEERING LIMITED,10,"-"
AKI,EQ,AKI INDIA LIMITED,10,"-"
AKSHAR,EQ,AKSHAR SPINTEX LIMITED,10,"-"
AKUMS,EQ,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,10,"-"
ANIKINDS,EQ,ANIK INDUSTRIES LIMITED,10,"-"
ANTELOPUS,EQ,ANTELOPUS SELAN ENERGY LIMITED,10,"-"
ASKAUTOLTD,EQ,ASK AUTOMOTIVE LIMITED,10,"-"
ASMS,EQ,BARTRONICS INDIA LIMITED,10,"-"
ASTEC,EQ,ASTEC LIFESCIENCES LIMITED,10,"-"
ATLANTAA,EQ,ATLANTAA LIMITED,10,"-"
ATLANTAELE,EQ,ATLANTA ELECTRICALS LIMITED,10,"-"
BAJAJHFL,EQ,BAJAJ HOUSING FINANCE LIMITED,10,"-"
BALAJIPHOS,SM,BALAJI PHOSPHATES LIMITED,10,"-"
BALUFORGE,EQ,BALU FORGE INDUSTRIES LIMITED,10,"-"
BANSALWIRE,EQ,BANSAL WIRE INDUSTRIES LIMITED,10,"-"
BBOX,EQ,BLACK BOX LIMITED,10,"-"
BHARATSE,EQ,BHARAT SEATS LIMITED,10,"-"
BIOFILCHEM,EQ,BIOFIL CHEMICALS & PHARMACEUTICALS LIMITED,10,"-"
BLUEJET,EQ,BLUE JET HEALTHCARE LIMITED,10,"-"
BOSCH-HCIL,EQ,BOSCH HOME COMFORT INDIA LIMITED,10,"-"
BVCL,EQ,BARAK VALLEY CEMENTS LIMITED,10,"-"
CEIGALL,EQ,CEIGALL INDIA LIMITED,10,"-"
CENTEXT,EQ,CENTURY EXTRUSIONS LIMITED,10,"-"
CHAVDA,SM,CHAVDA INFRA LIMITED,10,"-"
CLEDUCATE,EQ,CL EDUCATE LIMITED,10,"-"
COOLCAPS,SM,COOL CAPS INDUSTRIES LIMITED,10,"-"
CPPLUS,EQ,ADITYA INFOTECH LIMITED,10,"-"
CRIZAC,EQ,CRIZAC LIMITED,10,"-"
CYBERTECH,EQ,CYBERTECH SYSTEMS AND SOFTWARE LIMITED,10,"-"
DELTAMAGNT,EQ,DELTA MANUFACTURING LIMITED,10,"-"
DIACABS,EQ,DIAMOND POWER INFRASTRUCTURE LIMITED,10,"-"
E2E,EQ,E2E NETWORKS LIMITED,10,"-"
EBGNG,EQ,GNG ELECTRONICS LIMITED,10,"-"
ELGIRUBCO,EQ,ELGI RUBBER COMPANY LIMITED,10,"-"
ELLEN,EQ,ELLENBARRIE INDUSTRIAL GASES LIMITED,10,"-"
EMAMIREAL,EQ,EMAMI REALTY LIMITED,10,"GSM STAGE - 0"
EMCURE,EQ,EMCURE PHARMACEUTICALS LIMITED,10,"-"
EMKAY,EQ,EMKAY GLOBAL FINANCIAL SERVICES LIMITED,10,"-"
EMMVEE,EQ,EMMVEE PHOTOVOLTAIC POWER LIMITED,10,"-"
ESPRIT,SM,ESPRIT STONES LIMITED,10,"-"
FLAIR,EQ,FLAIR WRITING INDUSTRIES LIMITED,10,"-"
GATECH,EQ,GACM TECHNOLOGIES LIMITED,10,"-"
GATECHDVR,EQ,GACM TECHNOLOGIES LIMITED,10,"-"
GCHOTELS,SM,GRAND CONTINENT HOTELS LIMITED,10,"-"
GMBREW,EQ,GM BREWERIES LIMITED,10,"-"
GOLDKART,SM,GOLDKART JEWELS LIMITED,10,"-"
GOPAL,EQ,GOPAL SNACKS LIMITED,10,"-"
GSMFOILS,SM,GSM FOILS LIMITED,10,"-"
HAPPYFORGE,EQ,HAPPY FORGINGS LIMITED,10,"-"
HEXATRADEX,EQ,HEXA TRADEX LIMITED,10,"-"
HGM,EQ,HANDSON GLOBAL MANAGEMENT (HGM) LIMITED,10,"-"
HIRECT,EQ,HIND RECTIFIERS LIMITED,10,"-"
HMAAGRO,EQ,HMA AGRO INDUSTRIES LIMITED,10,"-"
HYBRIDFIN,EQ,HYBRID FINANCIAL SERVICES LIMITED,10,"-"
HYUNDAI,EQ,HYUNDAI MOTOR INDIA LIMITED,10,"-"
ICDSLTD,EQ,ICDS LIMITED,10,"-"
ICICIAMC,EQ,ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LIMITED,10,"-"
IDENTICAL,SM,IDENTICAL BRAINS STUDIOS LIMITED,10,"-"
IGIL,EQ,INTERNATIONAL GEMMOLOGICAL INSTITUTE (INDIA) LIMITED,10,"-"
INDIACEM,EQ,THE INDIA CEMENTS LIMITED,10,"-"
INDIFRA,SM,INDIFRA LIMITED,10,"-"
INFINIUM,SM,INFINIUM PHARMACHEM LIMITED,10,"-"
INNOMET,SM,INNOMET ADVANCED MATERIALS LIMITED,10,"-"
INTENTECH,EQ,INTENSE TECHNOLOGIES LIMITED,10,"-"
IPHL,SM,INDIAN PHOSPHATE LIMITED,10,"-"
ISHANCH,EQ,ISHAN DYES AND CHEMICALS LIMITED,10,"-"
IZMO,EQ,IZMO LIMITED,10,"-"
JAINIK,SM,JAINIK POWER CABLES LIMITED,10,"-"
JAIPURKURT,EQ,NANDANI CREATION LIMITED,10,"-"
JAYNECOIND,EQ,JAYASWAL NECO INDUSTRIES LIMITED,10,"-"
JEYYAM,SM,JEYYAM GLOBAL FOODS LIMITED,10,"-"
JITFINFRA,EQ,JITF INFRALOGISTICS LIMITED,10,"-"
JSWINFRA,EQ,JSW INFRASTRUCTURE LIMITED,10,"-"
JTLIND,EQ,JTL INDUSTRIES LIMITED,10,"-"
JUNIPER,EQ,JUNIPER HOTELS LIMITED,10,"-"
K2INFRA,SM,K2 INFRAGEN LIMITED,10,"-"
KALPATARU,EQ,KALPATARU LIMITED,10,"-"
KAUSHALYA,EQ,KAUSHALYA INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED,10,"-"
KAYA,EQ,KAYA LIMITED,10,"-"
KCEIL,SM,KAY CEE ENERGY & INFRA LIMITED,10,"-"
KINGFA,EQ,KINGFA SCIENCE & TECHNOLOGY (INDIA) LIMITED,10,"-"
KIOCL,EQ,KIOCL LIMITED,10,"-"
KONSTELEC,SM,KONSTELEC ENGINEERS LIMITED,10,"-"
KOTYARK,SM,KOTYARK INDUSTRIES LIMITED,10,"-"
KRISHIVAL,EQ,KRISHIVAL FOODS LIMITED,10,"-"
KRISHPP,E1,KRISHIVAL FOODS LIMITED,10,"-"
LATTEYS,EQ,LATTEYS INDUSTRIES LIMITED,10,"-"
LEXUS,EQ,LEXUS GRANITO (INDIA) LIMITED,10,"-"
LGEINDIA,EQ,LG ELECTRONICS INDIA LIMITED,10,"-"
LGHL,EQ,LAXMI GOLDORNA HOUSE LIMITED,10,"-"
LOTUSDEV,EQ,SRI LOTUS DEVELOPERS AND REALTY LIMITED,10,"-"
LOYALTEX,EQ,LOYAL TEXTILE MILLS LIMITED,10,"-"
LYPSAGEMS,EQ,LYPSA GEMS & JEWELLERY LIMITED,10,"-"
MAHAPEXLTD,EQ,MAHA RASHTRA APEX CORPORATION LIMITED,10,"-"
MANUGRAPH,EQ,MANUGRAPH INDIA LIMITED,10,"-"
MASKINVEST,EQ,MASK INVESTMENTS LIMITED,10,"-"
MEDICO,EQ,MEDICO REMEDIES LIMITED,10,"-"
MGSL,SM,MATRIX GEO SOLUTIONS LIMITED,10,"-"
MIDWESTLTD,EQ,MIDWEST LIMITED,10,"-"
MIEL,SM,MANGLAM INFRA & ENGINEERING LIMITED,10,"-"
MODTHREAD,EQ,MODERN THREADS (INDIA) LIMITED,10,"-"
MOHITIND,EQ,MOHIT INDUSTRIES LIMITED,10,"-"
MONOLITH,SM,MONOLITHISCH INDIA LIMITED,10,"-"
MOSCHIP,EQ,MOSCHIP TECHNOLOGIES LIMITED,10,"-"
MSPL,EQ,MSP STEEL & POWER LIMITED,10,"-"
MYMUDRA,SM,MY MUDRA FINCORP LIMITED,10,"-"
NAGREEKEXP,EQ,NAGREEKA EXPORTS LIMITED,10,"-"
NAMAN,SM,NAMAN INDUSTRIES PROXIMA LIMITED,10,"-"
NATCAPSUQ,EQ,NATURAL CAPSULES LIMITED,10,"-"
NDLVENTURE,EQ,NDL VENTURES LIMITED,10,"-"
NIBE,EQ,NIBE LIMITED,10,"-"
NILASPACES,EQ,NILA SPACES LIMITED,10,"-"
NIRAJISPAT,EQ,NIRAJ ISPAT INDUSTRIES LIMITED,10,"-"
NKIND,EQ,NK INDUSTRIES LIMITED,10,"-"
OLAELEC,EQ,OLA ELECTRIC MOBILITY LIMITED,10,"-"
ONESOURCE,EQ,ONESOURCE SPECIALTY PHARMA LIMITED,10,"-"
ORCHASP,EQ,ORCHASP LIMITED,10,"-"
ORIENTTECH,EQ,ORIENT TECHNOLOGIES LIMITED,10,"-"
OSWALPUMPS,EQ,OSWAL PUMPS LIMITED,10,"-"
PARKHOSPS,EQ,PARK MEDI WORLD LIMITED,10,"-"
PARTH,SM,PARTH ELECTRICALS & ENGINEERING LIMITED,10,"-"
PNC,EQ,PRITISH NANDY COMMUNICATIONS LIMITED,10,"-"
PNGJL,EQ,P N GADGIL JEWELLERS LIMITED,10,"-"
POSITRON,SM,POSITRON ENERGY LIMITED,10,"-"
PRABHA,EQ,PRABHA ENERGY LIMITED,10,"-"
PRIZOR,SM,PRIZOR VIZTECH LIMITED,10,"-"
PURVFLEXI,SM,PURV FLEXIPACK LIMITED,10,"-"
PVP,EQ,PVP VENTURES LIMITED,10,"-"
REFRACTORY,SM,REFRACTORY SHAPES LIMITED,10,"-"
RSSOFTWARE,EQ,R. S. SOFTWARE (INDIA) LIMITED,10,"-"
RVTH,EQ,REVATHI EQUIPMENT INDIA LIMITED,10,"-"
SAATVIKGL,EQ,SAATVIK GREEN ENERGY LIMITED,10,"-"
SADBHIN,EQ,SADBHAV INFRASTRUCTURE PROJECT LIMITED,10,"GSM STAGE - 0"
SADHNANIQ,EQ,SADHANA NITROCHEM LIMITED,10,"-"
SAFEENTP,SM,SAFE ENTERPRISES RETAIL FIXTURES LIMITED,10,"-"
SAMAY,SM,SAMAY PROJECT SERVICES LIMITED,10,"-"
SANATHAN,EQ,SANATHAN TEXTILES LIMITED,10,"-"
SAROJA,SM,SAROJA PHARMA INDUSTRIES INDIA LIMITED,10,"-"
SCPL,EQ,SHEETAL COOL PRODUCTS LIMITED,10,"-"
SEMAC,EQ,SEMAC CONSTRUCTION LIMITED,10,"-"
SERVOTECH,EQ,SERVOTECH RENEWABLE POWER SYSTEM LIMITED,10,"-"
SHAREINDIA,EQ,SHARE INDIA SECURITIES LIMITED,10,"-"
SHIVAUM,EQ,SHIV AUM STEELS LIMITED,10,"-"
SHREEJISPG,EQ,SHREEJI SHIPPING GLOBAL LIMITED,10,"-"
SHREERAMA,EQ,SHREE RAMA MULTI-TECH LIMITED,10,"-"
SIDDHICOTS,SM,SIDDHI COTSPIN LIMITED,10,"-"
SIKKO,EQ,SIKKO INDUSTRIES LIMITED,10,"-"
SILGO,EQ,SILGO RETAIL LIMITED,10,"-"
SLONE,SM,SLONE INFOSYSTEMS LIMITED,10,"-"
SONUINFRA,SM,SONU INFRATECH LIMITED,10,"-"
STYL,EQ,SESHAASAI TECHNOLOGIES LIMITED,10,"-"
STYLEBAAZA,EQ,BAAZAR STYLE RETAIL LIMITED,10,"-"
SUDEEPPHRM,EQ,SUDEEP PHARMA LIMITED,10,"-"
SUMEETINDS,EQ,SUMEET INDUSTRIES LIMITED,10,"-"
SYSTMTXC,EQ,SYSTEMATIX CORPORATE SERVICES LIMITED,10,"-"
TAC,SM,TAC INFOSEC LIMITED,10,"-"
TAPIFRUIT,SM,TAPI FRUIT PROCESSING LIMITED,10,"-"
TATACAP,EQ,TATA CAPITAL LIMITED,10,"-"
TECILCHEM,EQ,TECIL CHEMICALS AND HYDRO POWER LIMITED,10,"GSM STAGE - 0"
THANGAMAYL,EQ,THANGAMAYIL JEWELLERY LIMITED,10,"-"
THELEELA,EQ,LEELA PALACES HOTELS & RESORTS LIMITED,10,"-"
TRAVELFOOD,EQ,TRAVEL FOOD SERVICES LIMITED,10,"-"
TRIGYN,EQ,TRIGYN TECHNOLOGIES LIMITED,10,"-"
TUNWAL,SM,TUNWAL E-MOTORS LIMITED,10,"-"
UFBL,EQ,UNITED FOODBRANDS LIMITED,10,"-"
UNIMECH,EQ,UNIMECH AEROSPACE AND MANUFACTURING LIMITED,10,"-"
UNITECH,EQ,UNITECH LIMITED,10,"-"
UTLSOLAR,EQ,FUJIYAMA POWER SYSTEMS LIMITED,10,"-"
V2RETAIL,EQ,V2 RETAIL LIMITED,10,"-"
VENTIVE,EQ,VENTIVE HOSPITALITY LIMITED,10,"-"
VERTEXPLUS,SM,VERTEXPLUS TECHNOLOGIES LIMITED,10,"-"
VGL,EQ,VARVEE GLOBAL LIMITED,10,"-"
VLEGOV,EQ,VL E GOVERNANCE & IT SOLUTIONS LIMITED,10,"-"
ZODIAC,EQ,ZODIAC ENERGY LIMITED,10,"-"
20MICRONS,EQ,20 MICRONS LIMITED,20,"-"
3IINFOLTD,EQ,3I INFOTECH LIMITED,20,"-"
3MINDIA,EQ,3M INDIA LIMITED,20,"-"
3PLAND,EQ,3P LAND HOLDINGS LIMITED,20,"-"
5PAISA,EQ,5PAISA CAPITAL LIMITED,20,"-"
63MOONS,EQ,63 MOONS TECHNOLOGIES LIMITED,20,"-"
AAKAAR,SM,AAKAAR MEDICAL TECHNOLOGIES LIMITED,20,"-"
AAKASH,EQ,AAKASH EXPLORATION SERVICES LIMITED,20,"-"
AARADHYA,SM,AARADHYA DISPOSAL INDUSTRIES LIMITED,20,"-"
AARON,EQ,AARON INDUSTRIES LIMITED,20,"-"
AARTECH,EQ,AARTECH SOLONICS LIMITED,20,"-"
AARTIDRUGS,EQ,AARTI DRUGS LIMITED,20,"-"
AARTIIND,EQ,AARTI INDUSTRIES LIMITED,20,"-"
AARTIPHARM,EQ,AARTI PHARMALABS LIMITED,20,"-"
AARTISURF,EQ,AARTI SURFACTANTS LIMITED,20,"-"
AARVI,EQ,AARVI ENCON LIMITED,20,"-"
AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,20,"-"
AAVAS,EQ,AAVAS FINANCIERS LIMITED,20,"-"
ABBOTINDIA,EQ,ABBOTT INDIA LIMITED,20,"-"
ABCOTS,EQ,A B COTSPIN INDIA LIMITED,20,"-"
ABFRL,EQ,ADITYA BIRLA FASHION AND RETAIL LIMITED,20,"-"
ABGSEC,EQ,ADITYABIRLASUNLIFEMF-ADITYA BIRLA SUN LIFE CRISIL BROAD BASED GILT ETF,20,"-"
ABHAPOWER,SM,ABHA POWER AND STEEL LIMITED,20,"-"
ABLBL,EQ,ADITYA BIRLA LIFESTYLE BRANDS LIMITED,20,"-"
ABNINT,IT,A B N INTERCORP LIMITED,20,"-"
ABREL,EQ,ADITYA BIRLA REAL ESTATE LIMITED,20,"-"
ABSLAMC,EQ,ADITYA BIRLA SUN LIFE AMC LIMITED,20,"-"
ABSLBANETF,EQ,ADITYA BIRLA SUN LIFE NIFTY BANK ETF,20,"-"
ABSLNN50ET,EQ,ADITYA BIRLA SUN LIFE NIFTY NEXT 50 ETF,20,"-"
ABSLPSE,EQ,ADITYA BIRLA SUN LIFE MUTUAL FUND-ADITYA BIRLA SUN LIFE NIFTY PSE ETF,20,"-"
ABSMARINE,SM,ABS MARINE SERVICES LIMITED,20,"-"
ACC,EQ,ACC LIMITED,20,"-"
ACCELYA,EQ,ACCELYA SOLUTIONS INDIA LIMITED,20,"-"
ACCENTMIC,SM,ACCENT MICROCELL LIMITED,20,"-"
ACCURACY,EQ,ACCURACY SHIPPING LIMITED,20,"-"
ACE,EQ,ACTION CONSTRUCTION EQUIPMENT LIMITED,20,"-"
ACEINTEG,EQ,ACE INTEGRATED SOLUTIONS LIMITED,20,"-"
ACI,EQ,ARCHEAN CHEMICAL INDUSTRIES LIMITED,20,"-"
ACTIVEINFR,SM,ACTIVE INFRASTRUCTURES LIMITED,20,"-"
ACUTAAS,EQ,ACUTAAS CHEMICALS LIMITED,20,"-"
ADANIPOWER,EQ,ADANI POWER LIMITED,20,"-"
ADDICTIVE,SM,ADDICTIVE LEARNING TECHNOLOGY LIMITED,20,"-"
ADFFOODS,EQ,ADF FOODS LIMITED,20,"-"
ADL,EQ,ARCHIDPLY DECOR LIMITED,20,"-"
ADOR,EQ,ADOR WELDING LIMITED,20,"-"
ADROITINFO,EQ,ADROIT INFOTECH LIMITED,20,"-"
ADSL,EQ,ALLIED DIGITAL SERVICES LIMITED,20,"-"
ADVAIT,EQ,ADVAIT ENERGY TRANSITIONS LIMITED,20,"-"
ADVANCE,EQ,ADVANCE AGROLIFE LIMITED,20,"-"
ADVANIHOTR,EQ,ADVANI HOTELS & RESORTS (INDIA) LIMITED,20,"-"
ADVENTHTL,EQ,ADVENT HOTELS INTERNATIONAL LIMITED,20,"-"
ADVENZYMES,EQ,ADVANCED ENZYME TECHNOLOGIES LIMITED,20,"-"
AEGISLOG,EQ,AEGIS LOGISTICS LIMITED,20,"-"
AEQUS,EQ,AEQUS LIMITED,20,"-"
AEROENTER,EQ,AEROFLEX ENTERPRISES LIMITED,20,"-"
AEROFLEX,EQ,AEROFLEX INDUSTRIES LIMITED,20,"-"
AERON,SM,AERON COMPOSITE LIMITED,20,"-"
AERONEU,EQ,AEROFLEX NEU LIMITED,20,"-"
AETHER,EQ,AETHER INDUSTRIES LIMITED,20,"-"
AFCONS,EQ,AFCONS INFRASTRUCTURE LIMITED,20,"-"
AFFLE,EQ,AFFLE 3I LIMITED,20,"-"
AFFORDABLE,EQ,AFFORDABLE ROBOTIC & AUTOMATION LIMITED,20,"-"
AFIL,EQ,AKME FINTRADE (INDIA) LIMITED,20,"-"
AFSL,EQ,ABANS FINANCIAL SERVICES LIMITED,20,"-"
AGARIND,EQ,AGARWAL INDUSTRIAL CORPORATION LIMITED,20,"-"
AGARWALEYE,EQ,DR. AGARWAL'S HEALTH CARE LIMITED,20,"-"
AGARWALTUF,SM,AGARWAL TOUGHENED GLASS INDIA LIMITED,20,"-"
AGI,EQ,AGI GREENPAC LIMITED,20,"-"
AGIIL,EQ,AGI INFRA LIMITED,20,"-"
AGROPHOS,EQ,AGRO PHOS INDIA LIMITED,20,"-"
AHCL,EQ,ANLON HEALTHCARE LIMITED,20,"-"
AHLADA,EQ,AHLADA ENGINEERS LIMITED,20,"-"
AHLEAST,EQ,ASIAN HOTELS (EAST) LIMITED,20,"-"
AHLUCONT,EQ,AHLUWALIA CONTRACTS (INDIA) LIMITED,20,"-"
AIAENG,EQ,AIA ENGINEERING LIMITED,20,"-"
AIIL,EQ,AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED,20,"-"
AIRAN,EQ,AIRAN LIMITED,20,"-"
AIROLAM,EQ,AIRO LAM LIMITED,20,"-"
AJANTPHARM,EQ,AJANTA PHARMA LIMITED,20,"-"
AJMERA,EQ,AJMERA REALTY & INFRA INDIA LIMITED,20,"-"
AJOONI,EQ,AJOONI BIOTECH LIMITED,20,"-"
AKANKSHA,SM,AKANKSHA POWER AND INFRASTRUCTURE LIMITED,20,"-"
AKASH,EQ,AKASH INFRA PROJECTS LIMITED,20,"-"
AKG,EQ,AKG EXIM LIMITED,20,"-"
AKSHARCHEM,EQ,AKSHARCHEM INDIA LIMITED,20,"-"
AKSHOPTFBR,EQ,AKSH OPTIFIBRE LIMITED,20,"-"
AKZOINDIA,EQ,AKZO NOBEL INDIA LIMITED,20,"-"
ALANKIT,EQ,ALANKIT LIMITED,20,"-"
ALBERTDAVD,EQ,ALBERT DAVID LIMITED,20,"-"
ALCODIS,SM,ALCOKRAFT DISTILLERIES LIMITED,20,"-"
ALEMBICLTD,EQ,ALEMBIC LIMITED,20,"-"
ALGOQUANT,EQ,ALGOQUANT FINTECH LIMITED,20,"-"
ALICON,EQ,ALICON CASTALLOY LIMITED,20,"-"
ALIVUS,EQ,ALIVUS LIFE SCIENCES LIMITED,20,"-"
ALKALI,EQ,ALKALI METALS LIMITED,20,"-"
ALKYLAMINE,EQ,ALKYL AMINES CHEMICALS LIMITED,20,"-"
ALLCARGO,EQ,ALLCARGO LOGISTICS LIMITED,20,"-"
ALLDIGI,EQ,ALLDIGI TECH LIMITED,20,"-"
ALLETEC,SM,ALL E TECHNOLOGIES LIMITED,20,"-"
ALLTIME,EQ,ALL TIME PLASTICS LIMITED,20,"-"
ALMONDZ,EQ,ALMONDZ GLOBAL SECURITIES LIMITED,20,"-"
ALOKINDS,EQ,ALOK INDUSTRIES LIMITED,20,"-"
ALPA,EQ,ALPA LABORATORIES LIMITED,20,"-"
ALPEXSOLAR,SM,ALPEX SOLAR LIMITED,20,"-"
ALPHA,EQ,KOTAK MAHINDRA MUTUAL FUND - KOTAK NIFTY ALPHA 50 ETF,20,"-"
ALPHAETF,EQ,MIRAE ASSET MUTUAL FUND - MIRAE ASSET NIFTY 200 ALPHA 30 ETF,20,"-"
ALPHAGEO,EQ,ALPHAGEO (INDIA) LIMITED,20,"-"
ALPL30IETF,EQ,ICICI PRUDENTIAL NIFTY ALPHA LOW VOLATILITY 30 ETF,20,"-"
ALUWIND,SM,ALUWIND INFRA-TECH LIMITED,20,"-"
AMAGI,EQ,AMAGI MEDIA LABS LIMITED,20,"-"
AMANTA,EQ,AMANTA HEALTHCARE LIMITED,20,"-"
AMBEY,SM,AMBEY LABORATORIES LIMITED,20,"-"
