Symbol,Series,Security Name,Band,Remarks
PIDILITIND,EQ,PIDILITE INDUSTRIES LIMITED,No Band,-
PIIND,EQ,PI INDUSTRIES LIMITED,No Band,-
POLYCAB,EQ,POLYCAB INDIA LIMITED,No Band,-
POWERINDIA,EQ,HITACHI ENERGY INDIA LIMITED,No Band,-
PREMIERENE,EQ,PREMIER ENERGIES LIMITED,No Band,-
PRESTIGE,EQ,PRESTIGE ESTATES PROJECTS LIMITED,No Band,-
SBICARD,EQ,SBI CARDS AND PAYMENT SERVICES LIMITED,No Band,-
SBILIFE,EQ,SBI LIFE INSURANCE COMPANY LIMITED,No Band,-
SHREECEM,EQ,SHREE CEMENT LIMITED,No Band,-
SIEMENS,EQ,SIEMENS LIMITED,No Band,-
SOLARINDS,EQ,SOLAR INDUSTRIES INDIA LIMITED,No Band,-
SONACOMS,EQ,SONA BLW PRECISION FORGINGS LIMITED,No Band,-
SRF,EQ,SRF LIMITED,No Band,-
SUPREMEIND,EQ,SUPREME INDUSTRIES LIMITED,No Band,-
TATACONSUM,EQ,TATA CONSUMER PRODUCTS LIMITED,No Band,-
TATAELXSI,EQ,TATA ELXSI LIMITED,No Band,-
TATATECH,EQ,TATA TECHNOLOGIES LIMITED,No Band,-
TECHM,EQ,TECH MAHINDRA LIMITED,No Band,-
TIINDIA,EQ,TUBE INVESTMENTS OF INDIA LIMITED,No Band,-
TITAN,EQ,TITAN COMPANY LIMITED,No Band,-
TORNTPHARM,EQ,TORRENT PHARMACEUTICALS LIMITED,No Band,-
TORNTPOWER,EQ,TORRENT POWER LIMITED,No Band,-
TRENT,EQ,TRENT LIMITED,No Band,-
TVSMOTOR,EQ,TVS MOTOR COMPANY LIMITED,No Band,-
ULTRACEMCO,EQ,ULTRATECH CEMENT LIMITED,No Band,-
UNITDSPR,EQ,UNITED SPIRITS LIMITED,No Band,-
UPL,EQ,UPL LIMITED,No Band,-
VOLTAS,EQ,VOLTAS LIMITED,No Band,-
WAAREEENER,EQ,WAAREE ENERGIES LIMITED,No Band,-
ZYDUSLIFE,EQ,ZYDUS LIFESCIENCES LIMITED,No Band,-
